Date,HomeTeam,AwayTeam,HG,AG,MATCH,temp,GoalDiff
16/08/14,Arsenal,Crystal Palace,2,1,H,1,1
16/08/14,Man United,Swansea,1,2,A,-1,1
16/08/14,West Ham,Tottenham,0,1,A,-1,1
23/08/14,Everton,Arsenal,2,2,D,0,0
24/08/14,Sunderland,Man United,1,1,D,0,0
24/08/14,Tottenham,QPR,4,0,H,4,4
30/08/14,Burnley,Man United,0,0,D,0,0
31/08/14,Leicester,Arsenal,1,1,D,0,0
31/08/14,Tottenham,Liverpool,0,3,A,-3,3
13/09/14,Arsenal,Man City,2,2,D,0,0
13/09/14,Sunderland,Tottenham,2,2,D,0,0
14/09/14,Man United,QPR,4,0,H,4,4
20/09/14,Aston Villa,Arsenal,0,3,A,-3,3
21/09/14,Leicester,Man United,5,3,H,2,2
21/09/14,Tottenham,West Brom,0,1,A,-1,1
27/09/14,Arsenal,Tottenham,1,1,D,0,0
27/09/14,Man United,West Ham,2,1,H,1,1
5/10/2014,Chelsea,Arsenal,2,0,H,2,2
5/10/2014,Man United,Everton,2,1,H,1,1
5/10/2014,Tottenham,Southampton,1,0,H,1,1
18/10/14,Arsenal,Hull,2,2,D,0,0
18/10/14,Man City,Tottenham,4,1,H,3,3
20/10/14,West Brom,Man United,2,2,D,0,0
25/10/14,Sunderland,Arsenal,0,2,A,-2,2
26/10/14,Man United,Chelsea,1,1,D,0,0
26/10/14,Tottenham,Newcastle,1,2,A,-1,1
1/11/2014,Arsenal,Burnley,3,0,H,3,3
2/11/2014,Aston Villa,Tottenham,1,2,A,-1,1
2/11/2014,Man City,Man United,1,0,H,1,1
8/11/2014,Man United,Crystal Palace,1,0,H,1,1
9/11/2014,Swansea,Arsenal,2,1,H,1,1
9/11/2014,Tottenham,Stoke,1,2,A,-1,1
22/11/14,Arsenal,Man United,1,2,A,-1,1
23/11/14,Hull,Tottenham,1,2,A,-1,1
29/11/14,Man United,Hull,3,0,H,3,3
29/11/14,West Brom,Arsenal,0,1,A,-1,1
30/11/14,Tottenham,Everton,2,1,H,1,1
2/12/2014,Man United,Stoke,2,1,H,1,1
3/12/2014,Arsenal,Southampton,1,0,H,1,1
3/12/2014,Chelsea,Tottenham,3,0,H,3,3
6/12/2014,Stoke,Arsenal,3,2,H,1,1
6/12/2014,Tottenham,Crystal Palace,0,0,D,0,0
8/12/2014,Southampton,Man United,1,2,A,-1,1
13/12/14,Arsenal,Newcastle,4,1,H,3,3
14/12/14,Man United,Liverpool,3,0,H,3,3
14/12/14,Swansea,Tottenham,1,2,A,-1,1
20/12/14,Aston Villa,Man United,1,1,D,0,0
20/12/14,Tottenham,Burnley,2,1,H,1,1
21/12/14,Liverpool,Arsenal,2,2,D,0,0
26/12/14,Arsenal,QPR,2,1,H,1,1
26/12/14,Leicester,Tottenham,1,2,A,-1,1
26/12/14,Man United,Newcastle,3,1,H,2,2
28/12/14,Tottenham,Man United,0,0,D,0,0
28/12/14,West Ham,Arsenal,1,2,A,-1,1
